cost;time;% error;2755
3151;191373;14%;2755
3047;206603;10%;2755
3080;182118;11%;2755
3298;238907;19%;2755
3129;228915;13%;2755
path of best solution
111->3->4->5->133->169->112->113->164->127->126->125->129->128->130->135->136->137->138->139->141->6->7->8->9->10->76->74->75->11->12->13->17->18->19->20->21->22->23->26->27->28->29->30->31->32->158->36->157->33->156->40->39->38->37->35->34->41->155->42->45->44->46->47->48->49->170->168->73->77->1->2->0->81->80->79->82->78->72->71->60->50->51->52->53->43->55->54->58->59->61->68->67->167->70->87->85->86->83->84->69->66->64->56->57->62->63->65->88->153->154->89->90->91->94->96->97->98->95->92->93->166->108->107->106->105->165->163->99->100->101->162->123->122->121->120->102->103->104->114->110->109->115->116->117->118->119->124->146->145->144->143->147->148->149->161->14->15->159->16->24->25->150->160->151->152->142->140->134->131->132->111
