cost;time;% error;2755
3320;179568;20%;2755
3350;169403;21%;2755
3216;231194;16%;2755
3371;224364;22%;2755
3159;217514;14%;2755
path of best solution
95->92->93->166->108->107->106->105->165->163->100->123->162->120->121->122->101->102->103->104->114->164->127->126->125->129->128->130->131->132->133->134->6->7->8->9->10->76->74->75->11->12->18->19->20->37->49->170->73->77->1->0->81->80->79->82->78->2->3->4->5->169->111->112->110->109->113->115->116->117->118->119->124->136->137->138->135->139->140->141->149->148->147->146->145->144->143->142->152->151->160->150->25->161->14->13->17->158->32->24->15->159->16->21->29->22->23->26->27->28->30->31->33->34->156->40->39->38->35->36->157->41->155->42->45->44->46->47->48->168->72->71->60->50->51->52->53->43->55->54->58->59->61->68->67->167->70->87->85->86->83->84->69->66->63->64->56->57->62->65->88->153->154->89->90->91->94->96->97->99->98->95
