cost;time;% error;2755
3318;193550;20%;2755
3248;206720;17%;2755
3129;214744;13%;2755
3201;176664;16%;2755
3316;229598;20%;2755
path of best solution
128->130->135->136->137->138->139->140->6->7->8->9->2->1->0->81->80->79->82->78->72->73->170->49->38->39->40->156->34->35->41->155->42->45->44->46->47->48->51->52->53->43->55->54->58->59->60->61->68->67->66->65->64->56->57->62->63->88->153->154->89->90->91->94->96->97->163->99->100->101->98->95->92->93->166->107->106->105->165->104->114->110->109->108->69->167->70->87->85->86->83->84->71->50->168->77->3->4->5->133->169->111->112->132->115->116->118->120->121->122->123->162->102->103->117->119->124->129->146->145->143->144->147->148->149->161->14->15->159->16->17->18->19->20->37->75->11->10->76->74->12->13->21->22->158->32->36->157->33->31->30->28->29->27->26->23->24->25->150->160->151->152->142->141->134->131->113->164->127->126->125->128
