cost;time;% error;2465
3179;351595;28%;2465
3225;352252;30%;2465
3165;347960;28%;2465
3200;348173;29%;2465
3164;358024;28%;2465
path of best solution
177->108->255->212->137->320->139->223->344->373->374->375->188->276->385->387->9->84->107->61->257->58->8->6->64->3->2->386->47->112->322->272->28->11->101->10->55->59->76->310->29->65->12->140->173->354->342->266->264->268->163->292->329->294->330->343->318->332->150->300->334->400->158->271->350->402->97->56->397->394->14->62->13->205->204->23->225->24->36->313->7->41->314->253->254->262->172->174->250->286->273->227->381->151->296->298->63->297->152->16->100->138->337->153->346->377->316->111->367->165->187->95->303->71->99->389->359->369->237->235->113->176->156->390->157->239->241->238->261->393->103->117->278->122->119->168->104->203->384->383->197->161->191->372->38->270->19->18->244->17->231->364->159->213->217->218->221->183->186->196->0->30->301->211->230->382->302->89->20->118->232->233->380->365->283->277->162->399->307->143->222->185->335->236->285->360->366->321->242->388->348->379->248->181->361->336->201->202->206->401->216->200->198->126->323->305->215->309->127->48->358->327->128->228->224->129->219->130->338->131->282->357->121->370->395->132->243->288->291->315->133->148->325->134->306->319->135->280->279->136->98->220->265->326->258->234->167->169->170->284->290->125->74->214->182->184->190->193->195->180->312->194->324->362->251->252->371->53->164->110->93->145->146->144->105->391->154->106->340->339->304->35->141->259->142->199->229->341->149->347->352->308->109->275->210->175->178->32->274->46->33->376->68->42->287->83->43->34->295->50->5->260->179->79->69->245->81->22->21->82->247->54->85->26->311->269->355->115->114->353->263->102->80->4->207->208->209->356->328->317->77->31->52->40->39->78->226->147->155->378->398->396->240->331->368->246->166->67->66->60->44->86->75->27->333->45->363->289->123->192->189->124->160->15->1->267->281->87->70->349->73->88->96->94->90->72->57->91->25->116->92->51->49->37->249->256->120->392->351->293->171->345->299->177
