cost;time;% error;2465
3141;355172;27%;2465
3156;353701;28%;2465
3203;353438;29%;2465
3168;350671;28%;2465
3135;359504;27%;2465
path of best solution
70->349->115->114->353->263->99->389->4->41->89->7->314->310->29->77->31->52->40->39->78->226->147->79->69->245->81->22->21->82->247->54->108->255->212->307->143->209->211->254->251->110->326->258->311->152->16->156->390->153->346->377->155->378->398->396->324->362->157->334->400->109->275->210->111->223->214->192->189->123->48->358->327->126->220->230->331->323->305->158->332->196->45->363->289->252->371->382->183->367->302->244->373->374->271->330->343->159->276->298->63->337->188->215->309->238->127->277->341->128->228->224->171->336->368->253->139->292->329->294->232->233->236->227->381->316->333->335->24->36->32->274->46->217->164->194->380->33->376->68->38->270->19->18->42->287->83->186->17->318->195->387->388->43->34->295->50->56->133->148->325->134->306->319->135->280->279->190->193->250->285->218->88->96->94->90->72->57->91->262->261->393->237->352->149->347->401->354->342->266->166->173->344->141->15->385->67->66->60->44->397->394->225->58->8->6->64->3->2->61->107->386->47->112->322->257->65->235->181->234->240->219->350->130->338->151->296->167->172->5->301->304->260->35->9->84->272->28->11->101->10->55->59->76->231->140->239->283->399->312->53->177->175->176->131->282->357->121->370->395->132->243->288->178->100->138->297->136->98->137->320->265->162->129->291->315->150->300->286->273->207->308->163->25->116->92->51->49->37->249->256->120->392->351->293->93->145->0->30->269->355->73->95->303->71->97->85->26->12->161->264->113->86->75->27->202->213->206->208->185->360->361->365->124->284->290->125->74->216->200->198->364->366->321->184->201->118->1->267->281->87->268->313->20->179->180->165->359->369->182->242->80->278->122->119->168->170->174->222->241->246->248->348->379->160->169->102->103->117->356->328->317->104->203->384->383->197->146->144->372->345->299->259->142->199->229->105->391->154->106->340->339->402->375->191->187->23->14->62->13->205->204->221->70
