cost;time;% error;1776
1849;93072;4%;1776
1896;103051;6%;1776
1853;106124;4%;1776
1853;102702;4%;1776
1815;113274;2%;1776
path of best solution
0->25->18->17->12->32->6->3->24->4->29->30->5->31->7->23->34->13->46->36->35->14->15->16->45->39->19->44->21->20->38->37->10->11->8->9->33->27->28->2->41->43->42->22->40->47->26->1->0
