cost;time;% error;2755
3175;195127;15%;2755
3346;233690;21%;2755
3177;225454;15%;2755
3318;198463;20%;2755
3286;208175;19%;2755
path of best solution
146->145->144->143->147->148->149->160->15->159->16->21->22->23->24->25->150->161->152->142->151->14->13->17->32->158->36->157->35->41->155->42->45->44->46->47->48->168->1->2->3->4->5->133->169->111->112->132->131->113->164->127->126->125->129->128->130->135->136->137->138->139->140->141->134->6->7->8->9->10->76->74->75->11->12->18->19->20->29->26->27->28->30->31->33->34->156->40->39->38->37->49->170->73->77->0->81->80->79->82->78->72->71->60->50->51->52->53->43->55->54->58->59->61->68->67->167->70->87->85->86->83->84->69->66->64->56->57->62->63->65->88->153->154->89->90->91->94->96->97->99->98->95->92->93->166->108->107->106->105->165->163->100->101->104->114->110->109->115->116->120->121->122->123->162->102->103->117->118->119->124->146
