cost;time;% error;2755
3252;183866;18%;2755
3394;194771;23%;2755
3279;225931;19%;2755
3544;186703;28%;2755
3235;209707;17%;2755
path of best solution
128->130->135->138->139->140->6->7->8->9->2->1->3->4->5->133->169->111->112->132->0->81->80->79->82->78->72->73->170->49->50->51->52->53->43->55->54->58->59->60->61->68->67->69->167->70->87->85->86->83->84->71->66->56->57->62->63->64->65->88->153->154->89->90->91->94->96->97->99->98->95->92->93->166->108->107->106->105->165->163->100->101->123->162->102->103->104->114->110->109->115->116->117->118->119->122->121->120->129->136->137->147->148->144->143->146->145->149->161->14->15->159->16->17->18->19->37->38->39->40->156->34->35->41->155->42->45->44->46->47->48->168->77->75->11->10->76->74->12->13->21->20->158->32->36->157->33->31->30->28->27->29->22->26->23->24->25->150->160->151->152->142->141->134->131->113->164->127->126->125->124->128
