cost;time;% error;2755
3222;156353;16%;2755
3338;237581;21%;2755
3617;235559;31%;2755
3260;235035;18%;2755
3564;216646;29%;2755
path of best solution
152->151->160->150->161->149->148->147->146->145->144->143->142->14->15->159->16->17->18->19->20->21->22->23->24->25->26->27->28->29->30->31->33->35->34->156->40->39->38->37->75->11->10->76->74->12->13->32->158->36->157->41->155->42->45->44->46->47->48->51->52->53->43->55->54->58->59->60->50->49->170->168->73->77->1->2->0->81->80->79->82->78->72->71->61->68->67->167->70->87->85->86->83->84->69->66->64->56->57->62->63->65->88->153->154->89->90->91->94->96->97->99->98->95->92->93->166->108->107->106->105->165->163->100->102->103->117->118->124->129->128->130->131->132->133->134->141->6->7->8->9->3->4->5->169->111->112->110->115->116->119->120->121->122->123->162->101->104->114->109->113->164->127->126->125->136->137->138->135->139->140->152
