cost;time;% error;2465
2506;196381;1%;2465
2490;217790;1%;2465
2481;350836;0%;2465
2485;346645;0%;2465
2482;329122;0%;2465
path of best solution
316->256->249->308->260->110->326->258->172->26->233->324->381->152->76->218->9->184->129->183->17->12->301->120->392->351->293->367->7->43->34->295->333->267->162->48->77->31->52->40->39->311->55->128->314->310->6->169->27->163->25->188->299->298->291->315->171->63->297->253->276->259->108->255->397->5->50->56->174->185->133->307->20->136->336->321->362->164->15->366->292->329->294->281->32->274->46->24->36->166->199->42->241->330->343->38->270->19->18->23->14->62->13->205->204->361->146->144->332->296->109->402->287->83->139->4->375->191->187->81->22->21->102->190->138->337->304->394->225->285->282->357->358->327->170->284->290->85->181->346->338->217->349->73->149->347->341->176->156->390->177->220->197->88->96->94->387->84->272->28->161->148->325->232->236->227->320->178->100->98->82->247->246->105->391->154->167->54->313->143->86->101->318->153->75->180->165->182->158->269->58->8->29->388->155->378->398->396->395->372->41->201->89->79->69->245->179->334->104->203->137->374->278->122->119->168->345->173->344->157->339->248->348->237->331->323->216->200->198->206->30->207->45->239->117->159->368->186->53->400->196->0->240->219->364->303->71->97->264->113->370->322->257->312->35->335->213->363->289->221->300->302->118->125->273->350->283->277->352->78->226->147->208->252->371->91->401->354->342->266->195->385->67->66->60->44->124->1->268->16->135->280->279->244->80->33->376->68->106->359->231->288->99->389->95->10->251->328->317->142->175->90->72->57->126->271->134->306->305->215->309->209->356->103->230->382->212->93->145->238->229->393->150->384->383->132->243->111->369->65->64->3->2->61->107->386->47->112->286->74->214->192->189->373->222->250->193->235->121->265->275->210->130->202->160->365->234->228->224->131->355->115->114->211->123->92->51->49->37->87->141->116->242->70->360->353->263->254->223->319->262->261->127->399->377->194->380->379->151->59->340->140->11->316
