cost;time;% error;2465
2702;359374;9%;2465
2747;359141;11%;2465
2712;359490;10%;2465
2742;359263;11%;2465
2736;359520;10%;2465
path of best solution
218->384->383->197->146->144->142->199->372->278->122->119->168->196->0->133->339->170->102->364->303->71->283->277->352->124->284->290->65->385->162->48->358->327->23->14->62->13->205->204->335->10->220->9->84->281->402->1->267->46->301->120->392->351->293->345->276->298->331->20->217->349->73->88->353->263->131->282->357->121->103->208->246->70->302->118->338->251->322->272->28->186->53->400->248->348->184->4->252->191->86->75->172->307->143->341->286->273->370->311->42->287->107->61->257->43->34->295->152->16->167->316->24->36->77->31->52->40->39->91->151->334->242->117->38->270->19->18->50->56->193->164->15->166->254->223->214->192->189->150->231->219->175->139->45->92->51->49->37->249->256->336->292->329->294->227->381->367->323->305->215->309->262->261->129->397->35->332->296->136->98->375->399->377->182->90->72->57->111->359->108->255->79->69->245->171->63->337->221->300->387->67->94->188->299->259->304->5->240->160->365->140->11->101->130->87->265->275->210->211->155->378->398->396->125->74->216->200->198->127->206->355->115->114->32->274->83->181->373->137->234->183->17->12->236->333->106->340->202->194->380->379->180->369->78->226->147->169->27->213->356->328->317->95->126->55->59->310->29->141->116->366->321->362->81->22->21->104->203->109->33->376->68->134->306->319->264->238->229->393->253->149->347->401->354->342->266->388->82->247->54->153->7->105->391->154->308->260->314->76->41->58->8->6->163->25->235->113->350->239->346->241->201->99->389->207->361->64->3->2->386->47->112->268->195->209->363->289->85->26->157->123->222->250->318->173->344->190->100->158->271->330->343->178->138->297->312->394->225->128->228->224->176->156->390->179->233->324->320->132->243->288->291->315->237->313->371->395->174->185->244->80->159->269->30->232->89->165->187->135->280->279->97->360->96->66->60->44->230->382->212->177->93->145->374->368->161->148->325->285->110->326->258->218
