cost;time;% error;1776
1845;17958;3%;1776
1857;51761;4%;1776
1842;16664;3%;1776
1839;31890;3%;1776
1848;63500;4%;1776
path of best solution
13->34->23->12->32->7->31->30->5->6->24->4->29->3->10->11->8->9->33->27->28->2->41->43->42->22->47->26->1->0->25->18->17->46->36->14->35->16->45->39->21->40->20->38->37->19->44->15->13
