cost;time;% error;2465
2731;355048;10%;2465
2679;355706;8%;2465
2745;357340;11%;2465
2714;358591;10%;2465
2683;358002;8%;2465
path of best solution
139->4->126->55->82->247->54->129->211->240->219->161->92->51->49->37->249->244->117->316->256->213->251->136->141->116->206->30->333->308->104->203->218->384->383->197->146->144->283->277->155->378->398->396->361->173->344->164->334->153->143->304->5->262->166->102->16->387->160->365->239->80->128->228->224->158->1->267->281->172->35->397->260->65->222->250->253->190->138->297->183->17->87->135->280->279->33->376->68->180->165->268->261->242->70->349->73->301->120->392->351->293->385->152->148->325->201->118->133->269->355->115->114->353->263->233->380->362->373->271->86->75->38->270->19->18->202->338->196->0->167->264->364->303->71->314->352->149->347->401->354->342->266->193->91->311->27->15->181->346->241->330->343->90->72->57->175->291->315->331->20->59->236->227->381->234->42->287->83->151->76->359->285->321->379->235->121->50->56->110->99->389->187->207->134->306->319->127->345->299->259->123->48->332->296->171->63->337->208->188->276->298->360->313->371->370->113->395->142->199->388->348->88->96->94->209->356->328->317->140->103->174->24->36->237->81->22->21->217->84->272->28->11->101->286->273->108->255->307->323->305->215->309->150->300->97->231->79->69->245->254->223->214->192->189->130->341->318->89->220->9->131->282->357->358->327->194->324->212->182->186->53->400->85->26->12->179->402->64->3->2->61->107->386->47->112->322->257->169->10->252->399->377->132->243->288->177->185->178->100->98->246->221->67->66->60->44->93->145->159->7->374->41->366->292->329->294->350->336->43->34->295->124->284->290->125->74->216->200->198->335->372->278->122->119->168->162->230->382->320->111->369->176->156->390->184->45->363->289->137->23->14->62->13->205->204->105->391->154->106->340->232->368->195->312->394->393->109->275->210->32->274->46->367->310->29->163->25->375->191->77->31->52->40->39->78->226->147->238->229->225->248->58->8->6->170->339->157->302->265->326->258->95->139
