cost;time;% error;1776
1819;10063;2%;1776
1828;13513;2%;1776
1839;29080;3%;1776
1857;72805;4%;1776
1853;10843;4%;1776
path of best solution
3->24->4->29->30->5->31->7->23->34->13->46->36->14->35->15->16->45->39->19->44->21->20->38->0->25->37->18->17->12->32->6->9->33->27->28->2->41->43->42->22->40->47->26->1->10->11->8->3
