cost;time;% error;2465
2536;351482;2%;2465
2522;350844;2%;2465
2568;354700;4%;2465
2584;330319;4%;2465
2544;342827;3%;2465
path of best solution
26->50->56->360->96->94->207->45->64->3->2->61->107->386->285->282->357->330->343->167->308->394->225->242->70->232->82->247->249->149->347->352->166->300->176->156->390->157->269->218->384->383->186->53->6->133->139->4->171->63->297->248->236->227->381->238->229->393->237->335->246->117->373->30->372->278->122->119->168->230->382->212->262->261->312->260->32->274->46->24->36->90->72->18->388->348->235->121->183->17->12->141->116->42->123->192->189->336->292->329->294->124->284->290->251->322->257->387->84->272->28->339->177->250->307->143->11->81->22->21->206->267->281->175->374->41->268->16->104->203->78->226->147->397->35->333->355->115->114->353->263->222->276->273->181->346->338->136->108->255->159->20->131->65->155->378->398->396->286->298->291->315->331->7->126->93->145->318->169->27->220->197->345->299->259->302->89->201->118->134->306->319->103->43->34->295->182->130->265->326->258->193->231->243->161->148->325->361->146->144->402->287->83->202->33->376->68->375->371->395->367->368->208->151->59->105->391->154->152->76->340->162->399->377->195->142->253->150->349->73->99->389->187->221->199->234->106->359->163->25->209->363->289->164->15->283->277->341->179->102->129->304->5->77->31->52->40->39->23->14->160->365->184->366->321->362->211->217->9->240->219->110->92->51->49->37->128->228->224->239->58->8->400->95->10->244->80->55->314->310->29->316->256->170->334->254->223->344->88->62->13->205->204->252->191->127->48->111->369->188->173->354->342->266->332->296->79->69->245->91->311->271->293->241->113->370->358->327->125->74->214->401->216->200->198->38->270->19->57->109->275->210->140->101->86->135->280->279->158->1->190->138->337->313->323->305->215->309->153->75->364->303->71->174->185->233->380->379->196->0->385->67->66->60->44->87->97->137->54->132->288->180->165->301->120->392->351->350->178->100->98->194->324->320->85->213->356->47->112->264->328->317->172->26
